;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
125;Astra 1N;Luxembourg;SES S.A.;Commercial;Communications;;GEO;5350.0;;2011;15.0;EADS Astrium;France;Ariane 5 ECA;Direct-to-home and HD television.;EU;EU;EU;communication_and_positionning
127;Astra 2B;Luxembourg;SES S.A.;Commercial;Communications;;GEO;3315.0;1400;2000;14.0;Astrium;France/UK/Germany;Ariane 5G;"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.";EU;ROW;EU;communication_and_positionning
128;Astra 2C;Luxembourg;SES S.A.;Commercial;Communications;;GEO;3643.0;2000;2001;15.0;Boeing Satellite Systems;USA;Proton K;"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe";EU;USA;Russia;communication_and_positionning
129;Astra 2D;Luxembourg;SES S.A.;Commercial;Communications;;GEO;1420.0;700;2000;15.0;Hughes Space and Communications Co.;USA;Ariane 5G;"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.";EU;USA;EU;communication_and_positionning
130;Astra 2E;Luxembourg;SES S.A.;Commercial;Communications;;GEO;6052.0;;2013;15.0;EADS Astrium;France;Proton M;Broadcast, Vsat and broadband services to Europe.;EU;EU;Russia;communication_and_positionning
131;Astra 2F;Luxembourg;SES S.A.;Commercial;Communications;;GEO;6000.0;2660;2012;15.0;EADS Astrium;France/UK/Germany;Ariane 5 ECA;Prime position for SES - BBC, ITV, Channel 5.;EU;ROW;EU;communication_and_positionning
132;Astra 2G;Luxembourg;SES S.A.;Commercial;Communications;;GEO;6000.0;;2014;15.0;Airbus Defense and Space;Germany/France;Proton M;62 Ku-band transponders as well as 4 Ka-band transponders;EU;ROW;Russia;communication_and_positionning
133;Astra 3A;Luxembourg;SES S.A.;Commercial;Communications;;GEO;1500.0;750;2002;10.0;Boeing Satellite Systems;USA;Ariane 44L;"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.";EU;USA;EU;communication_and_positionning
134;Astra 3B;Luxembourg;SES S.A.;Commercial;Communications;;GEO;5471.0;;2010;15.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5 ECA;60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.;EU;ROW;EU;communication_and_positionning
135;Astra 5B;Luxembourg;SES S.A.;Commercial;Communications;;GEO;5724.0;;2014;15.0;EADS Astrium;France;Ariane 5 ECA;Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).;EU;EU;EU;communication_and_positionning
136;Astranis Demosat-2;USA;Astranis;Commercial;Technology Development;;LEO;;;2018;;Astranis;USA;PSLV;Pathfinder for Astranis' small GEO satellites.;USA;USA;India;increase_mission_performance_and_technology
137;Astrocast 0.1;Switzerland;Astrocast;Commercial;Communications;;LEO;4.0;;2018;;Astrocast;Switzerland;Falcon 9;Part of Spaceflight SSO-A mission. ;EU;EU;USA;communication_and_positionning
138;Astrocast 0.2;Switzerland;Astrocast;Commercial;Communications;;LEO;3.8;;2019;;Astrocast;Switzerland;PSLV;Astrocast 02 is meant to blaze a trail for IoT (Internet of Things) applications to be offered by Switzerland's Astrocast venture.;EU;EU;India;communication_and_positionning
139;Astrosat;India;Telemetry Tracking and Command Network (ISTRAC) Centre;Government;Space Science;;LEO;230.0;;2015;5.0;Indian Space Research Organization (ISRO);India;PSLV C-30;India's first space observatory.;India;India;USA;space_science
140;AT&T T16;USA;DirecTV, Inc.;Commercial;Communications;;GEO;6350.0;;2019;15.0;Airbus Defense and Space;France;Ariane 5;DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.;USA;EU;EU;communication_and_positionning
141;Athena-Fidus;France/Italy;Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI);Government/Military;Communications;;GEO;3080.0;;2014;15.0;Thales Alenia Space;France;Ariane 5 ECA;Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands.;EU;EU;EU;communication_and_positionning
142;Athenoxat-1;Singapore;Microspace Rapid Pvt Ltd.;Commercial;Technology Development;;LEO;6.0;;2015;;Microspace Rapid Pvt Ltd.;Singapore;PSLV-C29;Technology demonstrator nanosatellite for Earth remote sensing.;ROW;ROW;USA;increase_mission_performance_and_technology
143;ATL-1;Hungary;ATL (Advanced Technology of Laser);Commercial;Technology Development;;LEO;1.0;;2019;;Advanced Technology of Laser;Hungary;Electron;5 cm by 5 cm picosat.;EU;EU;USA;increase_mission_performance_and_technology
144;Aurora;Russia;SPUTNIX Ltd.;Commercial;Technology Development;;LEO;25.0;;2014;1.0;Sputnix Ltd.;Russia;Dnepr;Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.;Russia;Russia;ROW;increase_mission_performance_and_technology
145;Azerspace 1/Africasat-1a;Azerbaijan;Azercosmos;Government;Communications;;GEO;3250.0;1438;2013;15.0;Orbital Sciences Corp.;USA;Ariane 5 ECA;First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.;ROW;USA;EU;communication_and_positionning
146;Azerspace 2/Intelsat-38;Azerbaijan;Azercosmos;Government;Communications;;GEO;3500.0;;2018;15.0;Space Systems/Loral;USA;Ariane 5 ECA;Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region.  Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa. ;ROW;USA;EU;communication_and_positionning
147;AztecSat-1;USA/Mexico;Autonomous Popular University of the State of Puebla;Government/Civil;Technology Development;;LEO;2.0;;2020;;NASA/Mexican Space Agency;USA/Mexico;Nanorack Deployer;Built collaboratively by NASA and the Mexican Space Agency. Designed to demonstrate inter-satellite communication using satellites in the Globalstar constellation.;Int_coop;Int_coop;USA;increase_mission_performance_and_technology
148;Badr 4;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;3304.0;1487;2006;15.0;EADS Astrium;France/UK/Germany/Spain;Proton M;"28 Ku-band transponders; voice and video communications to West Asia region.";Int_coop;ROW;Russia;communication_and_positionning
149;Badr 5;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;5420.0;;2010;15.0;EADS Astrium;France/UK/Germany/Spain;Proton;"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.";Int_coop;ROW;Russia;communication_and_positionning
150;Badr 5A;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;4940.0;;2010;15.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5 ECA;26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.;Int_coop;ROW;EU;communication_and_positionning
151;Badr 6;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;3400.0;;2008;15.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5 ECA;24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.;Int_coop;ROW;EU;communication_and_positionning
152;Badr 7;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;5500.0;;2015;15.0;Airbus Defense and Space;France/UK/Germany/Spain;Ariane 5;;Int_coop;ROW;EU;communication_and_positionning
153;Bangabandhu 1;Bangladesh;Bangladesh Telecommunication Regulatory Commission (BTRC);Government;Communications;;GEO;3500.0;;2018;15.0;Thales Alenia Space;France/Belgium/Spain/Italy;Falcon 9;26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief.;ROW;ROW;USA;communication_and_positionning
154;Cosmos 2503;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;4000.0;;2015;5.0;Progress Rocket and Space Center;Russia;Soyuz-2.1b;Electronic intelligence gathering (ELINT).;Russia;Russia;Russia;earth_observation_and_surveillance
155;Cosmos 2515;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;4000.0;;2016;5.0;Progress Rocket and Space Center;Russia;Soyuz 2.1a;;Russia;Russia;Russia;earth_observation_and_surveillance
156;BDSAGR-1;China;GasTianta and GZH-HNJ BDS AGR Co., Ltd.;Commercial;Earth Observation;;LEO;40.0;;2019;3.0;MinoSpace Technology;China;Long March 4B;;China;China;China;earth_observation_and_surveillance
157;Beesat-4;Germany;Technical University Berlin;Civil;Technology Development;;LEO;1.0;;2016;;Technical University Berlin;Germany;PSLV;;EU;EU;India;increase_mission_performance_and_technology
158;Beesat-9;Germany;Technical University Berlin;Civil;Technology Development;;LEO;1.0;;2019;;Technical University Berlin;Germany;Soyuz 2.1b;Student built, will test an attitude control system.;EU;EU;Russia;increase_mission_performance_and_technology
159;Beidou 2-12;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;2200.0;;2012;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;Part of Beidou constellation.;China;China;China;communication_and_positionning
160;Beidou 2-13;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;2200.0;;2012;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;Part of Beidou constellation.;China;China;China;communication_and_positionning
161;Beidou 2-15;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;3800.0;;2012;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
162;Beidou 2-16;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;3800.0;2300;2012;8.0;Space Technology Research Institute (part of CASC);China;Long March 3C;Part of Beidou constellation, now operational.;China;China;China;communication_and_positionning
163;Beidou 2-17;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;4200.0;1900;2016;8.0;Space Technology Research Institute (part of CASC);China;Long March 3A;;China;China;China;communication_and_positionning
164;Beidou 2-18;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;3800.0;;2016;8.0;Space Technology Research Institute (part of CASC);China;Long March 3C;;China;China;China;communication_and_positionning
165;Beidou 3I-1S;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;4200.0;;2015;8.0;Space Technology Research Institute (part of CASC);China;Long March 3C;Third stage of Beidou constellation.;China;China;China;communication_and_positionning
166;Beidou 3I-2S;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;4200.0;;2015;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
167;Beidou 3-M1;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2017;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;Ultra-accurate rubidium atomic clocks on board;China;China;China;communication_and_positionning
168;Beidou 3-23;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2019;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
169;Beidou 3-24;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2019;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
170;Beidou 3-25;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2017;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;Ultra-accurate rubidium atomic clocks on board;China;China;China;communication_and_positionning
171;Beidou 3M-1S;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2015;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
172;Beidou 3M-2S;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2015;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
173;Beidou 3M-3S;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2016;8.0;Space Technology Research Institute (part of CASC);China;Long March 3C;;China;China;China;communication_and_positionning
174;Beidou DW 26;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
175;Beidou DW 27;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
176;Beidou DW 28;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
177;Beidou DW 29;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
178;Beidou DW 30;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
179;Beidou DW 31;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
180;Beidou DW 32;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;GEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3A;;China;China;China;communication_and_positionning
181;Beidou DW 33;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
182;Beidou DW 34;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
183;Beidou DW 35;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
184;Beidou DW 36;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
185;Beidou DW 37;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
186;Beidou DW 38;China;Chinese Defense Ministry;Military/Government;Navigation/Global Positioning;;MEO;800.0;280;2018;8.0;Space Technology Research Institute (part of CASC);China;Long March 3B;;China;China;China;communication_and_positionning
